form	match_type	count	candidate_lemmas	sample_context	resolved_lemma	confidence	note
vorlasenheit	unmatched	17		vornymet sein vorlasenheit der leiste			
et	ambiguous	16	lemma_1323|lemma_1732|lemma_1762	erat inanis et vacua et			
wenn̆	unmatched	16		die breite wenn̆ dir wil			
vressen	unmatched	16		hat in vressen Und denne			
puluer	unmatched	16		vnd thymiamischen puluer czu machen			
vmhenge	unmatched	16		alle dise vmhenge werden funf			
enczunden	unmatched	16		alter zu enczunden das thimiamisch			
behutest	unmatched	16		got vnd behutest alle seine			
gute	ambiguous	15	lemma_2551|lemma_2573	herczen liebes gute Czu dir			
touben	ambiguous	15	lemma_15782|lemma_6160|lemma_6265	gevalle den touben an alle			
vinden	ambiguous	15	lemma_7048|lemma_7081	intrewen lasent vinden Und in			
I	ambiguous	15	lemma_10509|lemma_13826|lemma_3004	Primus LIBER I GENESIS N			
is	ambiguous	15	lemma_1762|lemma_2979|lemma_5432	allem holcze is Aber von			
czihe	unmatched	15		erwelest so czihe ich zu			
nider	ambiguous	15	lemma_4346|lemma_4359	Do vil nider ouf sein			
groses	unmatched	15		in ein groses vnd in			
dorouf	unmatched	15		vnd legte dorouf zu sammen			
ane	ambiguous	15	lemma_13|lemma_199|lemma_210	als vorweiset ane kinder Nu			
racional	unmatched	15		vnd das racional vnd machen			
veldungen	unmatched	15		geteilten slechten veldungen durch graben			
veier	unmatched	15		Behutet meinen veier tack DUS			
ganczenczunten	unmatched	15		alter des ganczenczunten opfers in			
ganczenczunte	unmatched	15		vnd das ganczenczunte opfer das			
creissen	unmatched	15		in ewern creissen Und werdet			
streitenden	unmatched	15		iarczal der streitenden von seinem			
gegenwortigen	unmatched	15		in dem gegenwortigen tage Und			
machten	ambiguous	14	lemma_3917|lemma_4240	laup vnd machten in do			
trage	ambiguous	14	lemma_6169|lemma_6171	mag Die trage zu houfe			
vorslossen	unmatched	14		wasser vnd vorslossen wurden die			
ruch	ambiguous	14	lemma_4990|lemma_4999|lemma_5021	roch den ruch der susicheit			
wone	ambiguous	14	lemma_689|lemma_7336|lemma_7695	got vnd wone in den			
egiptischen	unmatched	14		von dem egiptischen wasser vncz			
furten	ambiguous	14	lemma_7283|lemma_7298	gewalt vnd furten hin ein			
vorkouft	unmatched	14		hat vns vorkouft vnd hat			
gebrouchen	unmatched	14		sold her gebrouchen also sam			
tŏten	unmatched	14		vnsern bruder tŏten vnd vorheln			
armen	ambiguous	14	lemma_10609|lemma_285|lemma_286	weisen meinem armen der do			
czeuhest	unmatched	14		du ein czeuhest Nicht wil			
sethimischem	unmatched	14		geczeldis von sethimischem holcze der			
grunden	ambiguous	14	lemma_12395|lemma_2544	vil ereinen grunden die do			
Hie	ambiguous	13	lemma_1517|lemma_2588|lemma_2705|lemma_2825|lemma_2923	PROLOGUS Hie hebt sich			
O	ambiguous	13	lemma_18476|lemma_2|lemma_4445	Biblia etcetera O Got got			
Sein	ambiguous	13	lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432	die vorkeuset Sein arbeit er			
=	unmatched	13		nymmer ersterbe = nota bene PROLOGUS			
dingen	ambiguous	13	lemma_1164|lemma_1165	gleichen slechten dingen In deutsche			
S	ambiguous	13	lemma_1119|lemma_2	in ir S Secht ich			
vorgangen	ambiguous	13	lemma_67213|lemma_6851	Und do vorgangen waren siben			
nŏrden	unmatched	13		bist gen nŏrden XIII cap̄			
samens	unmatched	13		vnd deines samens noch dir			
alder	ambiguous	13	lemma_117|lemma_155	gepern also alder Nu sich			
czweier	unmatched	13		vnd seiner czweier e e			
seule	unmatched	13		ein salcz seule stund ouf			
weder	ambiguous	13	lemma_7434|lemma_7557	des nicht weder do si			
heutigen	unmatched	13		ouf den heutigen tag Und			
herte	ambiguous	13	lemma_17742|lemma_2787|lemma_2789|lemma_2795	sein das herte vmb das			
achsil	unmatched	13		ouf die achsil vnd gab			
bereit	ambiguous	13	lemma_526|lemma_527	Ich bin bereit Und er			
geb	ambiguous	13	lemma_1961|lemma_32000	Den acker geb ich dir			
Hute	ambiguous	13	lemma_2863|lemma_2939|lemma_2942|lemma_2947|lemma_2963	Do sprach Hute dich das			
bette	ambiguous	13	lemma_11508|lemma_52148|lemma_615|lemma_621|lemma_634	vnd an bette vnsern herren			
gebot	ambiguous	13	lemma_1971|lemma_1978	geczelt vnd gebot seinen knechten			
gnade	ambiguous	13	lemma_2110|lemma_2111	das ich gnade vinde in			
getŏtet	unmatched	13		sie heten getŏtet Und santen			
vienk	unmatched	13		hies vnd vienk sie noch			
grunt	ambiguous	13	lemma_2541|lemma_2544	erden g grunt der stat			
iener	ambiguous	13	lemma_3011|lemma_3114	gebite Und iener wirt reden			
erstgepornen	unmatched	13		an den erstgepornen der meide			
wandern	ambiguous	13	lemma_15174|lemma_9839	ob sie wandern in meiner			
humeral	unmatched	13		cziren das humeral vnd das			
vassen	unmatched	13		allen seinen vassen sol haben			
genaden	ambiguous	13	lemma_2110|lemma_2111	bedeckende die genaden tafel sich			
Uorvluchet	unmatched	13		DEUTRO amen Uorvluchet sei der			
eren	ambiguous	12	lemma_1282|lemma_5454|lemma_56116|lemma_57649	lop deiner eren Das ich			
lone	ambiguous	12	lemma_3815|lemma_3817	ewiclich zu lone Criste des			
lere	ambiguous	12	lemma_3655|lemma_3656|lemma_63548	vnnucz̆ vnd lere vnd vinsternusse			
same	ambiguous	12	lemma_5039|lemma_5085	geslechte des same in im			
vorterbte	unmatched	12		bruder vnd vorterbte in Und			
herczens	unmatched	12		gedancken des herczens geneiget waren			
C	ambiguous	12	lemma_13826|lemma_2	seinem geslechte C Czwei aus			
regen	ambiguous	12	lemma_41348|lemma_4834|lemma_4835	ein GENESIS regen auf erden			
vorgossen	unmatched	12		sol werden vorgossen wenne czu			
vilen	ambiguous	12	lemma_15262|lemma_24033|lemma_6741|lemma_7075	rucke vnd vilen aldo Und			
guldeinen	unmatched	12		sach die guldeinen ŏrringe vnd			
irs	ambiguous	12	lemma_14006|lemma_48563|lemma_5454|lemma_56116|lemma_56951|lemma_58160	beraubt hette irs maitumes die			
werkis	unmatched	12		vnd etwas werkis hette svnderliches			
vorbrante	unmatched	12		vnd nicht vorbrante Nu sprach			
entvn	unmatched	12		werke nicht entvn vnd dein			
weihunge	unmatched	12		wider der weihunge vnd einen			
lucernen	unmatched	12		seczet die lucernen wirt her			
veistikeit	unmatched	12		herren Die veistikeit die do			
here	ambiguous	12	lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_5454	Und vnser here redte zu			
morserl	unmatched	12		ein guldein morserl wegende czehen			
leit	ambiguous	11	lemma_3674|lemma_3691|lemma_3692|lemma_3730|lemma_3770	ný kein leit Svn¬ der			
gleichnusse	unmatched	11		noch vnserem gleichnusse das er			
schŏne	unmatched	11		czu sehen schŏne was vnd			
bovme	unmatched	11		den edeln bovme vnd den			
yeclicher	unmatched	11		erden Ein yeclicher dorumbe der			
ereine	unmatched	11		in alle ereine vnd eisereine			
macht	ambiguous	11	lemma_3917|lemma_3937|lemma_4240	gleichnusse gotes macht er in			
dreissick	unmatched	11		hundert vnd dreissick iare vnd			
GEN	ambiguous	11	lemma_1844|lemma_1961|lemma_2007	W W GEN ber lebte			
czweihundert	unmatched	11		iar vnd czweihundert iare vnd			
ESIS	unmatched	11		die tochter ESIS des vaters			
eslinne	unmatched	11		gesinde vnd eslinne vnd camelen			
ŏsten	unmatched	11		czuden gen ŏsten vnd gegen			
c	ambiguous	11	lemma_13826|lemma_2	ł XVI c GENE egiptische			
wisse	ambiguous	11	lemma_7538|lemma_7549|lemma_7672	ich das wisse Und sie			
pilgereim	unmatched	11		vnd ein pilgereim bin ich			
huf	ambiguous	11	lemma_2932|lemma_2949	vnder meine huf so das			
losen	ambiguous	11	lemma_3818|lemma_3821|lemma_3837|lemma_3853	entschutten vnd losen wirst sein			
gericht	ambiguous	11	lemma_2164|lemma_4913	vf hab gericht zu einem			
vorbrant	unmatched	11		hat mich vorbrant der ł			
knechtils	unmatched	11		werden alle knechtils geslechte Denne			
heusern	unmatched	11		in irn heusern vnd ouf			
snvr	unmatched	11		zu seiner snvr Bis ein			
hŏren	unmatched	11		ich dich hŏren gar weislichen			
besiczest	unmatched	11		das du besiczest Und aldo			
vorkart	unmatched	11		erde werde vorkart in ein			
geachtet	unmatched	11		sie mir geachtet Aber die			
graben	ambiguous	11	lemma_2479|lemma_2483|lemma_2485|lemma_2486|lemma_26054	sie durch graben die mawer			
richter	ambiguous	11	lemma_26221|lemma_4911	vnd einen richter vber vns			
czouberer	unmatched	11		vras der czouberer ruten Und			
wonungen	unmatched	11		allen ewern wonungen sult ir			
vbirdecke	unmatched	11		lenge einer vbirdecke schol haben			
ereinen	unmatched	11		bedecke mit ereinen blechen vnd			
geweihet	unmatched	11		pfafheit werde geweihet Nim eyn			
opfertires	unmatched	11		des siges opfertires gotis Und			
meiligt	unmatched	11		wer den meiligt des todes			
ganczenczuntes	unmatched	11		Ist das ganczenczuntes opfer sein			
svndet	unmatched	11		die do svndet vnwissende vnd			
opfernde	unmatched	11		vor yn opfernde den wider			
gevallen	ambiguous	11	lemma_2292|lemma_6741	die ab gevallen kŏrner saltu			
Numeri	unmatched	11		gnant ist Numeri vnd ist			
hort	ambiguous	10	lemma_2885|lemma_2908	ewigen selden hort Vreude beide			
s	ambiguous	10	lemma_1119|lemma_2	ewigen vaters s = svn			
han	ambiguous	10	lemma_2598|lemma_2634|lemma_50840	wir vns han geseczet vor			
flute	unmatched	10		wasser der flute auf die			
reinen	ambiguous	10	lemma_25323|lemma_4848	Aus allen reinen tyren heb			
brochen	unmatched	10		menedis zu brochen wurden alle			
vortilgte	unmatched	10		Und er vortilgte alle habe			
czeucht	unmatched	10		als man czeucht zu dem			
nahen	ambiguous	10	lemma_4281|lemma_4290|lemma_4301	si waren nahen das sie			
wustnunge	unmatched	10		in der wustnunge der sprache			
Uorwar	unmatched	10		er sprach Uorwar alhie hab			
vorterbe	unmatched	10		sprach Ich vorterbe ir nicht			
wŏlle	unmatched	10		der gassen wŏlle wir bleiben			
vŏrchte	unmatched	10		tuestu nicht vŏrchte dich wenne			
hŏret	unmatched	10		toten so hŏret mich vnd			
wage	ambiguous	10	lemma_7326|lemma_7334|lemma_7335|lemma_7351|lemma_7613	an die wage das gelt			
eldisten	unmatched	10		zu dem eldisten knechte seines			
gehabt	ambiguous	10	lemma_2020|lemma_2598	er hat gehabt Und mein			
tŏte	unmatched	10		vindest den tŏte man vor			
al	ambiguous	10	lemma_106|lemma_22020|lemma_22573	ł nacht al do geslief			
Czihet	unmatched	10		den knechten Czihet vor mir			
gesamment	unmatched	10		vnd wurden gesamment in die			
arme	ambiguous	10	lemma_285|lemma_286	bant seiner arme vnd seiner			
besasen	unmatched	10		den das besasen Besweret wart			
czehende	unmatched	10		ist das czehende teil der			
ochsens	unmatched	10		nicht seines ochsens Nicht seines			
stengil	unmatched	10		geende Sechs stengil sullen von			
Gepeut	unmatched	10		seine grunde Gepeut das sie			
vngemeiligte	unmatched	10		vnd czwen vngemeiligte wider vnd			
nirlein	unmatched	10		di czwei nirlein vnd das			
opfertiren	unmatched	10		den geduldigen opfertiren die man			
gerete	unmatched	10		vnd sein gerete vnd den			
gesvndet	unmatched	10		volk hat gesvndet grose svnde			
bedakte	unmatched	10		Aber her bedakte wider sein			
vngemeiligtes	unmatched	10		rindern ein vngemeiligtes knechtil opfer			
enczunte	unmatched	10		das gancz enczunte opfer sol			
geczelden	unmatched	10		in den geczelden so das			
Dorvmbe	unmatched	9		nicht getvn Dorvmbe rufe ich			
esse	ambiguous	9	lemma_1726|lemma_1764	lebens vnd esse vnd lebe			
meidel	unmatched	9		geslechte vnd meidel Und von			
dach	ambiguous	9	lemma_1060|lemma_1185|lemma_5994	auf das dach der archen			
grosem	unmatched	9		als in grosem vihe vnd			
hebreer	unmatched	9		das dem hebreer der do			
schos	ambiguous	9	lemma_15061|lemma_5235|lemma_5277	in deine schos die sicht			
swere	ambiguous	9	lemma_5924|lemma_5963	Dorvmbe so swere bei dem			
geczeugnusse	unmatched	9		in ein geczeugnusse mir wenne			
achte	ambiguous	9	lemma_7|lemma_95|lemma_96|lemma_98|lemma_99	quam Dise achte geperte bruder			
friede	unmatched	9		sunder mit friede habe wir			
reichte	ambiguous	9	lemma_4842|lemma_4875	im die reichte vnd er			
rote	ambiguous	9	lemma_4786|lemma_4954|lemma_4978	hant das rote tuchil was;			
stvnden	ambiguous	9	lemma_5710|lemma_5842	vor im stvnden Und dorumbe			
sweren	ambiguous	9	lemma_5924|lemma_5963	ous einem sweren slafe entwachte			
pilgereimen	unmatched	9		veter zu pilgereimen in dein			
keuchel	unmatched	9		garten sein keuchel vnd an			
vorgiengen	unmatched	9		geheisse Dornach vorgiengen vierczig tage			
herten	ambiguous	9	lemma_13697|lemma_2787|lemma_2789|lemma_2795	sein hercze herten vnd her			
weisen	ambiguous	9	lemma_7462|lemma_7537|lemma_7540|lemma_7549	rufte den weisen vnd den			
lose	ambiguous	9	lemma_3818|lemma_3853	svnen die lose mit lone			
gewapent	ambiguous	9	lemma_7328|lemma_9689	dem Und gewapent ł czogen			
nymet	unmatched	9		einen andern nymet so sol			
vorporgen	unmatched	9		der diep vorporgen so sol			
steineine	unmatched	9		geben czwu steineine tafeln vnd			
ringel	unmatched	9		kŏpfe vnd ringel vnd lilgen			
winkeln	unmatched	9		irn czwein winkeln vnderligen Und			
vndergank	unmatched	9		der svnnen vndergank die do			
ouserhalb	unmatched	9		den tisch ouserhalb des furhangs			
horner	unmatched	9		hŏe Aber horner von den			
gebleichter	unmatched	9		mit czwir gebleichter pfelle Und			
stvnd	unmatched	9		geczelde so stvnd ouf alles			
gepote	ambiguous	9	lemma_1971|lemma_1978	noch dem gepote in den			
neczil	unmatched	9		vnd daz neczil der lebern			
weirouches	unmatched	9		des thimiamischen weirouches des genemsten			
giesse	unmatched	9		ander blut giesse her bei			
gehere	unmatched	9		vnd das gehere weislecht vnd			
vorlasen	unmatched	9		wenne die vorlasen wirt von			
kvnigs	unmatched	9		menige der kvnigs vogil Wer			
vorsteten	unmatched	9		mit iren vorsteten Und die			
sende	ambiguous	8	lemma_18884|lemma_26093|lemma_5396|lemma_5401|lemma_69473|lemma_69474	heiligen geiste sende Dar nach			
schepfte	unmatched	8		N anegenge schepfte got himel			
irm	ambiguous	8	lemma_5454|lemma_56116	tyr mit irm namen vnd			
erczurnet	unmatched	8		Und wart erczurnet sterclich vnd			
rache	ambiguous	8	lemma_57802|lemma_79315	swerte Sibenueldige rache wirt gegeben			
dreihundert	unmatched	8		gepar d dreihundert iare vnd			
czigel	unmatched	8		mache wir czigel vnd bruen			
czwisschen	unmatched	8		sein geczelt czwisschen vnd an			
bŏze	unmatched	8		die waren bŏze vnd groze			
leite	ambiguous	8	lemma_19575|lemma_3674|lemma_3692|lemma_3730	vnd zu leite Aber mir			
stosen	unmatched	8		tur ouf stosen wolden Und			
heile	ambiguous	8	lemma_2706|lemma_2711	einem perge heile dich das			
fried	unmatched	8		machen einen fried also das			
geheisse	unmatched	8		seines vaters geheisse erfulte Do			
vorsmehet	unmatched	8		ich bin vorsmehet vnd hat			
gange	ambiguous	8	lemma_1844|lemma_1899	meinem ein gange Dorumb recht			
wechsilnde	unmatched	8		ein ander wechsilnde vnser tŏchter			
eckern	unmatched	8		ouf irn eckern daz roubten			
suche	ambiguous	8	lemma_11369|lemma_5903	Meine bruder suche ich Czeige			
reisse	unmatched	8		vnd zu reisse sein gewant			
weintrouben	unmatched	8		ich die weintrouben czeitigen Und			
trouben	unmatched	8		dorumbe die trouben vnd druckte			
seyn	ambiguous	8	lemma_1517|lemma_5432	wider an seyn ampt das			
brenget	unmatched	8		ir vnd brenget das getreide			
neigende	unmatched	8		iren henden neigende ouf die			
kunst	ambiguous	8	lemma_3400|lemma_3541	in der kunst der weissagunge			
besiczet	unmatched	8		vnd erden besiczet Nemet samen			
streitende	unmatched	8		vnd bruder streitende was der			
gebende	ambiguous	8	lemma_1961|lemma_1962	vnd rede gebende der schone			
sterke	ambiguous	8	lemma_5729|lemma_5754|lemma_5755	ist in sterke sein bogen			
E	ambiguous	8	lemma_10937|lemma_1281|lemma_3004	kvnnen helfen E wir zu			
dorvber	unmatched	8		Und ouch dorvber hat er			
geusse	unmatched	8		bach vnd geusse das ouf			
ŏpfil	unmatched	8		was do ŏpfil was ouf			
meil	ambiguous	8	lemma_4046|lemma_4113	an alles meil ein ieriges			
lage	ambiguous	8	lemma_3565|lemma_3770	dem nicht lage ein toter			
hoen	ambiguous	8	lemma_13175|lemma_2866	wil in hoen Der herre			
bedecke	unmatched	8		holcze vnd bedecke sie mit			
endlisten	unmatched	8		an den endlisten drumern des			
geczeuknus	unmatched	8		geczeldis des geczeuknus sullen sie			
bleiblinge	unmatched	8		Uorbru die bleiblinge in dem			
thimiamischen	unmatched	8		alter des thimiamischen puluers Und			
wanderst	unmatched	8		das du wanderst mit vns			
vberige	unmatched	8		alter das vberige giesse her			
anruret	unmatched	8		ichtesicht vnreines anruret sol nicht			
derlei	unmatched	8		das keiner derlei ein totes			
enczuntem	unmatched	8		eynem gancz enczuntem opfer vnd			
volken	unmatched	8		von andern volken Svndert ouch			
posen	ambiguous	8	lemma_33398|lemma_788	vnd irr posen dinge mit			
czigenpock	unmatched	8		opfer einen czigenpock vor die			
ieriger	unmatched	8		sullet Ungemeiligter ieriger lemmer czwei			
vngemeiligter	unmatched	8		czwen wider vngemeiligter lemmer virczehen			
besiczvnge	unmatched	8		von der besiczvnge irr bruder			
roten	ambiguous	7	lemma_10839|lemma_11330|lemma_4954|lemma_4978	kvnig Im roten mere czu			
buche	ambiguous	7	lemma_912|lemma_936	in disem buche vil Der			
warn	ambiguous	7	lemma_6761|lemma_7338|lemma_7505	vnd vinsternusse warn auf der			
krichenden	unmatched	7		vnd allen krichenden das sich			
heuten	unmatched	7		hausvrowen aus heuten rŏkke vnd			
vorterbten	unmatched	7		in nicht vorterbten alle die			
leide	ambiguous	7	lemma_3680|lemma_3684|lemma_3691|lemma_3730	inwendig in leide des herczens			
knechtel	unmatched	7		die archen knechtel vnd meidel			
alls	ambiguous	7	lemma_106|lemma_148	giengen sie alls in got			
o	ambiguous	7	lemma_18476|lemma_2|lemma_4445	pzde toho o pzde e			
ber	ambiguous	7	lemma_16706|lemma_518|lemma_542	W GEN ber lebte noch			
vnfruchtber	unmatched	7		di was vnfruchtber vnd hatte			
czeige	unmatched	7		ich dir czeige vnd ich			
schone	ambiguous	7	lemma_5274|lemma_5276|lemma_5280	das sie schone was vnd			
bleibende	unmatched	7		vnd was bleibende in den			
vrteilen	unmatched	7		wil ich vrteilen Dornach werden			
few̆ers	unmatched	7		lampen des few̆ers geende czwisschen			
hinderteil	unmatched	7		gesehen des hinderteil der mich			
wirft	unmatched	7		svnder du wirft geheissen wenne			
verrens	unmatched	7		stat von verrens vnd sprach			
pilgereime	unmatched	7		sage vnd pilgereime do vnd			
heim	ambiguous	7	lemma_2712|lemma_9419	friede wider heim in ir			
gesalbet	unmatched	7		du hast gesalbet den stein			
neuen	ambiguous	7	lemma_4341|lemma_4383|lemma_4390|lemma_4392	vnd meinen neuen kvme her			
geczeug	unmatched	7		wirt ein geczeug czwischen mir			
Ire	ambiguous	7	lemma_5454|lemma_56116	bedarf bouleute Ire tŏchter neme			
stetin	ambiguous	7	lemma_46902|lemma_5713|lemma_5732	in irn stetin vnd in			
has	ambiguous	7	lemma_11816|lemma_2670|lemma_78908	trugen im has der vater			
czeigte	unmatched	7		behabten mantil czeigte sie irem			
weren	ambiguous	7	lemma_7496|lemma_7505	gewesen wir weren nv zu			
bete	ambiguous	7	lemma_615|lemma_634|lemma_722	do an bete vnsern herren			
besiczungen	unmatched	7		in irn besiczungen Wenne mir			
grimme	ambiguous	7	lemma_22061|lemma_2523|lemma_39969	in irem grimme habn sie			
ler	ambiguous	7	lemma_3655|lemma_3656|lemma_63548	ous czihet ler svnder entlehen			
erwerfen	unmatched	7		sie vns erwerfen mit steinen			
czale	unmatched	7		das die czale zu wenig			
gesneite	unmatched	7		dem in gesneite sult ir			
bedacte	unmatched	7		dicke wolken bedacte den perck			
lei	unmatched	7		Noch der lei das do			
horest	unmatched	7		das du horest seine stimme			
spannen	ambiguous	7	lemma_5645|lemma_5647	zu samen spannen also das			
mittagis	unmatched	7		an der mittagis seiten die			
blechen	unmatched	7		mit guldeinen blechen Und ł			
erein	unmatched	7		vnd grunde erein XXUII Mache			
rost	ambiguous	7	lemma_4953|lemma_4977	vnd einen rost zu gleicher			
geceldis	unmatched	7		selben grosen geceldis das do			
dovmen	unmatched	7		ouf die dovmen irr hende			
fuzes	unmatched	7		des rechten fuzes vnd geuss			
czagil	unmatched	7		vnd den czagil vnd das			
enczunde	unmatched	7		vnd das enczunde ouf dem			
salbe	ambiguous	7	lemma_5069|lemma_67911	tu vnd salbe den zu			
gesvndert	unmatched	7		herren wart gesvndert Wer do			
purpir	unmatched	7		iacinten vnd purpir vnd rotes			
rouchvas	unmatched	7		vnd DUS rouchvas ous reinem			
tvnke	unmatched	7		herren so tvnke der priester			
lemmern	unmatched	7		von den lemmern ist sein			
czelen	unmatched	7		ir dorvmme czelen von dem			
iarczal	unmatched	7		ouf die iarczal aller sammenunge			
czigenpocke	unmatched	7		wider funf czigenpocke funf ierige			
mowern	unmatched	7		oder ane mowern sint die			
gereiczet	unmatched	7		das do gereiczet wart wider			
honikseim	unmatched	7		vnd von honikseim Hŏre u			
