xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_68rb_5_1	in	wegen vnd in seinen reitenden	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_68rb_5_3	reitenden	in seinen reitenden Vnd der	unmatched				
WZB_68rb_6_0	der	reitenden Vnd der engel gotis	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_68rb_6_4	sich	gotis hub sich ouf der	ambiguous	lemma_42100|lemma_5366|lemma_5445|lemma_5455			
WZB_68rb_6_7	der	sich ouf der do vor	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_68rb_7_0	do	ouf der do vor czoch	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_68rb_7_4	purgen	czoch den purgen vnd czoch	ambiguous	lemma_10988|lemma_944			
WZB_68rb_8_2	noch	vnd czoch noch in vnd	ambiguous	lemma_14402|lemma_4281|lemma_4415			
WZB_68rb_8_3	in	czoch noch in vnd gleich	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_68rb_9_2	im	ouch mit im die seule	ambiguous	lemma_10734|lemma_1517|lemma_1762			
WZB_68rb_9_3	die	mit im die seule der	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_68rb_9_4	seule	im die seule der wolken	unmatched				
WZB_68rb_9_5	der	die seule der wolken vnd	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_68rb_10_2	lies	wolken vnd lies die vordristen	ambiguous	lemma_3567|lemma_3720			
WZB_68rb_10_3	die	vnd lies die vordristen vnd	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_68rb_10_4	vordristen	lies die vordristen vnd stund	unmatched				
WZB_68rb_11_1	stund	vordristen vnd stund hinden czwischen	ambiguous	lemma_5710|lemma_5842			
WZB_68rb_12_1	purgen	czwischen den purgen Und die	ambiguous	lemma_10988|lemma_944			
WZB_68rb_12_5	die	purgen Und die wolken die	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_68rb_12_7	die	die wolken die was vinster	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_68rb_13_0	was	wolken die was vinster vnd	ambiguous	lemma_29723|lemma_5941|lemma_7505			
WZB_68rb_13_3	erleuchtende	vinster vnd erleuchtende die nacht	unmatched				
